,GV1 lift,GV1 area,GV2 lift,GV2 area,GV3 lift,GV3 area,GV4 lift,GV4 area,GV5 lift,GV5 area,GV6 lift,GV6 area,GV7 lift,GV7 area,GV8 lift,GV8 area
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993,5.0,13.50851717672993
2,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921,10.0,15.009463529699921
3,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658,15.0,16.67718169966658
4,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842,20.0,18.53020188851842
5,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491,25.0,20.58911320946491
6,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101,30.0,22.87679245496101
7,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001,35.0,25.41865828329001
8,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013,40.0,28.242953648100013
9,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012,45.0,31.381059609000012
10,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001,50.0,34.86784401000001
11,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015,55.0,38.742048900000015
12,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001,60.0,43.04672100000001
13,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014,65.0,47.829690000000014
14,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016,70.0,53.144100000000016
15,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014,75.0,59.049000000000014
16,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001,80.0,65.61000000000001
17,85.0,72.9,85.0,72.9,85.0,72.9,85.0,72.9,85.0,72.9,85.0,72.9,85.0,72.9,85.0,72.9
18,90.0,81.0,90.0,81.0,90.0,81.0,90.0,81.0,90.0,81.0,90.0,81.0,90.0,81.0,90.0,81.0
19,95.0,90.0,95.0,90.0,95.0,90.0,95.0,90.0,95.0,90.0,95.0,90.0,95.0,90.0,95.0,90.0
20,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
