,Governor Demand,Throttle Pressure,Main Steam Temp,Inlet Density,First Stage Pressure,Steam Flow Target,Px/Pi
89,89,3477.897857933756,996.6339958608476,4.818989293631695,2568.757545357913,4744.028917178947,0.7385948783682883
90,90,3477.566525349117,996.6794190220245,4.818135636488285,2596.5614728912115,4795.434697253136,0.7466604747785636
91,91,3477.2351927644777,996.7248421832015,4.817282167464454,2624.3654004245104,4846.840477327323,0.7547276082691671
92,92,3476.9038601798384,996.7702653443785,4.816428886471769,2652.169327957809,4898.246257401512,0.762796279279528
93,93,3476.572527595199,996.8156885055555,4.815575793421851,2679.973255491108,4949.652037475699,0.7708664882492436
94,94,3476.2411950105593,996.8611116667324,4.814722888226391,2707.7771830244064,5001.057817549887,0.7789382356180787
95,95,3475.90986242592,996.9065348279095,4.81387017079713,2735.5811105577054,5052.463597624075,0.7870115218259655
96,96,3475.5785298412807,996.9519579890864,4.813017641045876,2763.3850380910044,5103.869377698263,0.795086347313004
97,97,3475.247197256642,996.9973811502634,4.812165298884501,2791.188965624303,5155.27515777245,0.8031627125194621
98,98,3474.9158646720025,997.0428043114405,4.811313144224928,2818.9928931576023,5206.680937846639,0.8112406178857764
99,99,3474.584532087363,997.0882274726174,4.810461176979147,2846.796820690901,5258.086717920826,0.81932006385255
100,100,3474.2531995027234,997.1336506337944,4.809609397059208,2874.6007482241994,5309.492497995015,0.8274010508605552
