,Governor Demand,Steam Temp
0,-1.0,806.0904145487168
1,0.02020202020202011,805.7839992773019
2,1.0404040404040402,805.477584005887
3,2.0606060606060606,805.1711687344721
4,3.0808080808080804,804.8647534630572
5,4.1010101010101,804.5583381916424
6,5.121212121212121,804.2519229202275
7,6.141414141414141,803.9455076488126
8,7.161616161616161,803.6390923773977
9,8.181818181818182,803.3326771059828
10,9.2020202020202,803.026261834568
11,10.222222222222221,802.719846563153
12,11.242424242424242,802.4134312917382
13,12.262626262626261,802.1070160203233
14,13.282828282828282,801.8006007489084
15,14.303030303030301,801.4941854774936
16,15.323232323232322,801.1877702060787
17,16.343434343434343,800.8813549346638
18,17.363636363636363,800.5749396632489
19,18.38383838383838,800.268524391834
20,19.4040404040404,799.9621091204192
21,20.424242424242422,799.6556938490043
22,21.444444444444443,799.3492785775894
23,22.464646464646464,799.0428633061745
24,23.484848484848484,798.7364480347596
25,24.5050505050505,798.4300327633447
26,25.525252525252522,852.4322961150564
27,26.545454545454543,885.2580785347737
28,27.565656565656564,918.0838609544911
29,28.585858585858585,950.9096433742087
30,29.606060606060602,983.7354257939259
31,30.626262626262623,996.4022548508121
32,31.646464646464644,996.3884519536591
33,32.666666666666664,996.3746490565062
34,33.686868686868685,996.3608461593532
35,34.707070707070706,996.3470432622003
36,35.72727272727273,996.3332403650473
37,36.74747474747475,996.3194374678943
38,37.76767676767676,996.3056345707414
39,38.78787878787878,996.2918316735884
40,39.8080808080808,996.2780287764355
41,40.82828282828282,996.2642258792825
42,41.848484848484844,996.2504229821295
43,42.868686868686865,996.2366200849766
44,43.888888888888886,996.2228171878236
45,44.90909090909091,996.2090142906707
46,45.92929292929293,996.1952113935176
47,46.94949494949495,996.1814084963647
48,47.96969696969697,996.1676055992118
49,48.98989898989898,996.1538027020588
50,50.010101010101,996.1399998049059
51,51.030303030303024,996.1261969077528
52,52.050505050505045,996.1123940105999
53,53.070707070707066,996.098591113447
54,54.090909090909086,996.084788216294
55,55.11111111111111,996.0709853191411
56,56.13131313131313,996.057182421988
57,57.15151515151515,996.0433795248351
58,58.17171717171717,996.0295766276822
59,59.19191919191918,996.0157737305292
60,60.212121212121204,996.0019708333763
61,61.232323232323225,995.9881679362232
62,62.252525252525245,995.9743650390703
63,63.272727272727266,995.9605621419174
64,64.29292929292929,995.9467592447644
65,65.31313131313131,995.9329563476115
66,66.33333333333333,995.9191534504585
67,67.35353535353535,995.9053505533055
68,68.37373737373737,995.8915476561525
69,69.39393939393939,995.8777447589996
70,70.41414141414141,995.8639418618467
71,71.43434343434343,995.8501389646937
72,72.45454545454545,995.8363360675407
73,73.47474747474747,995.8225331703877
74,74.4949494949495,995.8087302732348
75,75.5151515151515,995.7949273760819
76,76.53535353535352,995.7811244789289
77,77.55555555555554,995.767321581776
78,78.57575757575756,995.7535186846229
79,79.59595959595958,995.73971578747
80,80.6161616161616,995.7259128903171
81,81.63636363636363,995.7121099931641
82,82.65656565656565,995.6983070960111
83,83.67676767676767,995.6845041988581
84,84.69696969696969,995.6707013017052
85,85.71717171717171,995.6568984045523
86,86.73737373737373,995.6430955073993
87,87.75757575757575,995.6292926102464
88,88.77777777777777,995.6154897130933
89,89.79797979797979,995.6016868159404
90,90.81818181818181,995.5878839187875
91,91.83838383838383,995.5740810216345
92,92.85858585858585,995.5602781244816
93,93.87878787878788,995.5464752273285
94,94.8989898989899,995.5326723301756
95,95.91919191919192,995.5188694330226
96,96.93939393939394,995.5050665358697
97,97.95959595959594,995.4912636387168
98,98.97979797979797,995.4774607415637
99,100.0,995.4636578444108
