,Governor Demand,First Stage Pressure
0,-1.0,-1.3414428499372888
1,0.02020202020202011,0.5109309962883818
2,1.0404040404040402,2.3633048425140526
3,2.0606060606060606,4.2156786887397235
4,3.0808080808080804,6.0680525349653935
5,4.1010101010101,7.920426381191064
6,5.121212121212121,9.772800227416736
7,6.141414141414141,11.625174073642405
8,7.161616161616161,13.477547919868076
9,8.181818181818182,15.329921766093747
10,9.2020202020202,17.182295612319418
11,10.222222222222221,19.03466945854509
12,11.242424242424242,20.88704330477076
13,12.262626262626261,22.739417150996427
14,13.282828282828282,24.591790997222102
15,14.303030303030301,26.44416484344777
16,15.323232323232322,28.29653868967344
17,16.343434343434343,30.148912535899115
18,17.363636363636363,32.00128638212479
19,18.38383838383838,33.85366022835045
20,19.4040404040404,35.706034074576124
21,20.424242424242422,37.55840792080179
22,21.444444444444443,39.410781767027466
23,22.464646464646464,41.26315561325314
24,23.484848484848484,43.11552945947881
25,24.5050505050505,44.967903305704475
26,25.525252525252522,96.82014058885215
27,26.545454545454543,432.25247592633787
28,27.565656565656564,767.6848112638236
29,28.585858585858585,870.6881578583112
30,29.606060606060602,899.5039660050335
31,30.626262626262623,928.3197741517555
32,31.646464646464644,957.1355822984777
33,32.666666666666664,985.9513904451998
34,33.686868686868685,1014.767198591922
35,34.707070707070706,1043.5830067386441
36,35.72727272727273,1072.3988148853664
37,36.74747474747475,1101.2146230320886
38,37.76767676767676,1130.0304311788109
39,38.78787878787878,1158.8462393255327
40,39.8080808080808,1187.662047472255
41,40.82828282828282,1216.4778556189772
42,41.848484848484844,1245.2936637656994
43,42.868686868686865,1274.1094719124217
44,43.888888888888886,1302.9252800591435
45,44.90909090909091,1331.7410882058662
46,45.92929292929293,1360.556896352588
47,46.94949494949495,1389.3727044993102
48,47.96969696969697,1418.1885126460324
49,48.98989898989898,1447.0043207927542
50,50.010101010101,1475.820128939477
51,51.030303030303024,1504.6359370861987
52,52.050505050505045,1533.451745232921
53,53.070707070707066,1562.2675533796432
54,54.090909090909086,1591.0833615263655
55,55.11111111111111,1619.8991696730877
56,56.13131313131313,1648.7149778198095
57,57.15151515151515,1677.5307859665322
58,58.17171717171717,1706.346594113254
59,59.19191919191918,1735.1624022599763
60,60.212121212121204,1763.9782104066985
61,61.232323232323225,1792.7940185534203
62,62.252525252525245,1821.609826700143
63,63.272727272727266,1850.4256348468648
64,64.29292929292929,1879.241442993587
65,65.31313131313131,1908.0572511403093
66,66.33333333333333,1936.8730592870315
67,67.35353535353535,1965.6888674337538
68,68.37373737373737,1994.5046755804756
69,69.39393939393939,2023.3204837271983
70,70.41414141414141,2052.13629187392
71,71.43434343434343,2080.952100020643
72,72.45454545454545,2109.7679081673646
73,73.47474747474747,2138.583716314087
74,74.4949494949495,2167.399524460809
75,75.5151515151515,2196.215332607531
76,76.53535353535352,2225.031140754253
77,77.55555555555554,2253.8469489009753
78,78.57575757575756,2282.6627570476976
79,79.59595959595958,2311.4785651944194
80,80.6161616161616,2340.2943733411416
81,81.63636363636363,2369.110181487864
82,82.65656565656565,2397.925989634586
83,83.67676767676767,2426.7417977813084
84,84.69696969696969,2455.5576059280306
85,85.71717171717171,2484.373414074753
86,86.73737373737373,2513.189222221475
87,87.75757575757575,2542.005030368197
88,88.77777777777777,2570.820838514919
89,89.79797979797979,2599.6366466616414
90,90.81818181818181,2628.4524548083637
91,91.83838383838383,2657.268262955086
92,92.85858585858585,2686.084071101808
93,93.87878787878788,2714.8998792485304
94,94.8989898989899,2743.7156873952526
95,95.91919191919192,2772.5314955419744
96,96.93939393939394,2801.3473036886967
97,97.95959595959594,2830.1631118354185
98,98.97979797979797,2858.9789199821407
99,100.0,2887.7947281288634
