,Governor Demand,Steam Flow
0,-1.0,468.9672633545337
1,0.02020202020202011,468.6408174325392
2,1.0404040404040402,468.3143715105448
3,2.0606060606060606,467.98792558855035
4,3.0808080808080804,467.66147966655586
5,4.1010101010101,467.33503374456143
6,5.121212121212121,467.008587822567
7,6.141414141414141,466.68214190057256
8,7.161616161616161,466.35569597857807
9,8.181818181818182,466.02925005658363
10,9.2020202020202,465.7028041345892
11,10.222222222222221,465.3763582125947
12,11.242424242424242,465.0499122906003
13,12.262626262626261,464.72346636860584
14,13.282828282828282,464.3970204466114
15,14.303030303030301,464.0705745246169
16,15.323232323232322,463.7441286026225
17,16.343434343434343,463.41768268062805
18,17.363636363636363,463.09123675863356
19,18.38383838383838,462.7647908366391
20,19.4040404040404,462.4383449146447
21,20.424242424242422,462.11189899265025
22,21.444444444444443,461.78545307065576
23,22.464646464646464,461.4590071486613
24,23.484848484848484,461.1325612266669
25,24.5050505050505,460.8061153046724
26,25.525252525252522,460.47966938267797
27,26.545454545454543,885.4033178302398
28,27.565656565656564,1390.862387438514
29,28.585858585858585,1599.7909264471064
30,29.606060606060602,1653.1808097826538
31,30.626262626262623,1706.5706931182017
32,31.646464646464644,1759.9605764537491
33,32.666666666666664,1813.350459789297
34,33.686868686868685,1866.7403431248445
35,34.707070707070706,1920.1302264603924
36,35.72727272727273,1973.5201097959402
37,36.74747474747475,2026.9099931314877
38,37.76767676767676,2080.299876467035
39,38.78787878787878,2133.689759802583
40,39.8080808080808,2187.07964313813
41,40.82828282828282,2240.469526473678
42,41.848484848484844,2293.859409809226
43,42.868686868686865,2347.2492931447737
44,43.888888888888886,2400.6391764803216
45,44.90909090909091,2454.0290598158685
46,45.92929292929293,2507.4189431514164
47,46.94949494949495,2560.8088264869643
48,47.96969696969697,2614.1987098225122
49,48.98989898989898,2667.588593158059
50,50.010101010101,2720.978476493607
51,51.030303030303024,2774.368359829155
52,52.050505050505045,2827.758243164703
53,53.070707070707066,2881.14812650025
54,54.090909090909086,2934.5380098357978
55,55.11111111111111,2987.9278931713457
56,56.13131313131313,3041.3177765068936
57,57.15151515151515,3094.7076598424405
58,58.17171717171717,3148.0975431779884
59,59.19191919191918,3201.4874265135363
60,60.212121212121204,3254.8773098490833
61,61.232323232323225,3308.267193184631
62,62.252525252525245,3361.657076520179
63,63.272727272727266,3415.046959855727
64,64.29292929292929,3468.436843191275
65,65.31313131313131,3521.826726526822
66,66.33333333333333,3575.2166098623698
67,67.35353535353535,3628.6064931979176
68,68.37373737373737,3681.9963765334655
69,69.39393939393939,3735.3862598690134
70,70.41414141414141,3788.7761432045604
71,71.43434343434343,3842.1660265401083
72,72.45454545454545,3895.555909875656
73,73.47474747474747,3948.945793211204
74,74.4949494949495,4002.335676546751
75,75.5151515151515,4055.725559882298
76,76.53535353535352,4109.115443217846
77,77.55555555555554,4162.505326553393
78,78.57575757575756,4215.895209888942
79,79.59595959595958,4269.285093224489
80,80.6161616161616,4322.674976560038
81,81.63636363636363,4376.064859895585
82,82.65656565656565,4429.454743231132
83,83.67676767676767,4482.844626566681
84,84.69696969696969,4536.234509902228
85,85.71717171717171,4589.6243932377765
86,86.73737373737373,4643.0142765733235
87,87.75757575757575,4696.4041599088705
88,88.77777777777777,4749.794043244419
89,89.79797979797979,4803.183926579966
90,90.81818181818181,4856.573809915515
91,91.83838383838383,4909.963693251062
92,92.85858585858585,4963.353576586609
93,93.87878787878788,5016.743459922158
94,94.8989898989899,5070.133343257705
95,95.91919191919192,5123.523226593252
96,96.93939393939394,5176.913109928801
97,97.95959595959594,5230.302993264348
98,98.97979797979797,5283.692876599895
99,100.0,5337.082759935443
