,Governor Demand,Throttle Pressure,Main Steam Temp,Inlet Density,First Stage Pressure,Steam Flow Target,Px/Pi
0,0,543.0878158732189,804.4760430363368,0.7534394863615721,-6.060851786050847,468.6472817082223,-0.01115998482916752
1,10,1004.0699707735375,834.5413019247776,1.4065982679252373,133.63484799851577,465.4474652451083,0.13309316271610355
2,20,1465.0521256738557,864.6065608132183,2.0654186727295163,273.3305477830824,462.2476487819945,0.18656711457100073
3,30,1926.0342805741739,894.6718197016589,2.722433988238636,413.02624756764897,1673.7967053280636,0.21444387139595505
4,40,3511.946667447623,993.301007526306,4.898763361567933,1222.1678194866356,2197.123284557689,0.34800295540218734
5,50,3494.8417152479915,993.1791194145476,4.870396393052024,1496.4668156865273,2720.4498637873144,0.4281930163410388
6,60,3477.736763048359,993.057231302789,4.842080057740751,1770.765811886419,3243.7764430169404,0.5091718932557392
7,70,3469.3003959439857,993.9538596507145,4.8218771980341755,2043.5254310534037,3767.1030222465656,0.5890309854524335
8,80,3473.866906482501,996.3782626881663,4.813842689830847,2313.9759846710276,4290.429601476192,0.6661095680876467
9,90,3478.433417021016,998.8026657256181,4.805891074031708,2584.426538288651,4813.756180705817,0.742985772170391
10,100,3482.9999275595314,1001.2270687630697,4.798020935858348,2854.877091906274,5337.082759935443,0.8196603937073951
