,Governor Demand (Design),Steam Flow (Design),Throttle Pressure,Main Steam Temperature,First Stage Pressure (Design),Generator MWG
81,0.0,461.1967163,896.15448,768.5687256,0.0,0.000466182
82,0.0,462.2988586,895.6434937,770.5987549,0.0,0.000466182
83,0.0,462.2422485,895.9351196,772.6083984,0.0,0.000466182
84,0.0,460.6109924,896.8724365,774.6544189,0.0,0.000466182
85,0.0,461.6401062,896.8897095,776.6560669,0.0,0.000466182
86,0.0,461.6019897,895.4373169,778.7020264,0.0,0.000466182
87,0.0,474.5061951,858.7714844,780.7319946,0.0,0.000466182
88,0.0,452.4987488,913.607666,782.7496948,0.0,0.000466182
89,0.0,461.5884399,902.2810669,782.7496948,0.0,0.000466182
90,0.0,462.9793091,897.5270386,780.7319946,0.0,0.000466182
91,0.0,465.0906372,894.7058105,778.6940308,0.0,0.000466182
92,0.0,462.2488708,896.524353,776.6923828,0.0,0.000466182
93,0.0,460.9595337,896.4708862,772.6730347,0.0,0.000466182
94,0.0,461.6011353,896.2362671,768.6536865,0.0,0.000466182
95,0.0,462.2955322,896.2435913,766.607666,0.0,0.000466182
96,0.0,460.7563477,896.2011108,762.5903931,0.0,0.000466182
97,0.0,460.712738,896.2702026,758.4295654,0.0,0.000466182
98,0.0,459.0434875,899.6635742,754.3231812,0.0,0.000466182
99,0.0,461.8866577,899.1742554,752.2307129,0.0,0.000466182
100,0.0,461.0286865,898.6621704,752.2307129,0.0,0.000466182
101,0.0,460.2989807,898.5158081,752.2307129,0.0,0.000466182
102,0.0,461.6361694,897.6044312,752.2307129,0.0,0.000466182
103,0.0,460.8820801,898.7580566,754.2382813,0.0,0.000466182
104,0.0,463.2001648,898.5076294,756.250061,0.0,0.000466182
105,0.0,462.0362854,899.7252197,758.2576294,0.0,0.000466182
106,0.0,460.8774109,898.8080444,758.2576294,0.0,0.000466182
107,0.0,461.8129883,898.2178345,760.3238525,0.0,0.000466182
108,0.0,460.6949768,897.7732544,762.418457,0.0,0.000466182
109,0.0,463.133667,895.5962524,764.4564819,0.0,0.0
110,0.0,460.9835815,896.4888306,766.5248413,0.0,0.0
111,0.0,460.1557007,897.968689,768.5628662,0.0,0.0
112,0.0,462.5712891,903.5820313,772.6954346,0.0,0.0
113,0.0,461.8421936,894.7144775,776.7350464,7.634063721,0.0
114,0.0,461.540802,890.4526367,780.8190308,3.837641001,0.0
115,0.0,461.7319336,889.6938477,789.3388672,43.65960693,0.0
116,19.95898438,462.5909119,900.6992188,793.5767212,36.15786743,0.0
117,20.59375,459.3693542,893.4005127,795.8029175,35.89134979,0.0
118,20.59375,462.8210449,892.7383423,799.90448,36.14497757,0.0
119,21.09765625,462.245636,896.6196899,801.9047852,42.91465759,0.928033054
120,25.27148438,461.5772095,794.2755737,803.9187012,123.2182922,19.60943031
121,25.79101563,459.2137451,884.755249,812.7490845,139.554184,24.52575493
122,25.79101563,462.0172729,882.2382813,816.8190918,141.2626038,25.59717369
123,25.79101563,463.5859985,881.0543213,818.8251953,142.3866882,25.59717369
124,25.79101563,460.4186401,882.2218018,822.8374634,144.1427612,26.76808548
125,25.79101563,461.0600586,881.4472656,824.8435669,148.0781708,27.37417984
126,25.79101563,484.3061829,884.7674561,826.8496094,149.4593201,27.89471245
127,25.79101563,473.3409424,880.5153198,831.0010986,149.7753448,27.89471245
128,25.79101563,465.3320618,879.7389526,837.1029663,150.3224792,28.05990028
129,25.79101563,463.0819397,883.4771729,841.218689,151.3129272,28.63142014
130,25.79101563,461.3531189,883.2024536,845.2667236,152.2172852,29.13494682
131,25.79101563,460.7756042,882.1986084,849.3903809,152.18396,29.08066559
132,25.79101563,463.6770325,881.309082,853.4303589,152.1380005,28.88716507
133,25.79101563,462.0107727,880.8953247,857.5182495,152.5114594,28.99105835
134,25.79101563,460.5613098,881.0211792,861.5662231,151.710083,28.99105835
135,25.79101563,461.9625549,879.2640991,865.6540527,151.7161102,29.00143623
136,25.79101563,462.2819824,878.3271484,869.7498779,151.8053131,29.48379135
137,25.79101563,466.6228333,879.2109985,873.8456421,151.8507538,29.08663177
138,25.79101563,460.0127869,878.4086304,877.9971313,151.7209167,29.10756683
139,25.79101563,459.052002,881.4165649,882.0671997,152.2037811,29.18130493
140,25.79101563,461.8702087,878.6466064,886.1351318,152.4288483,29.34194183
141,25.79101563,465.3978577,1403.976074,898.9519043,241.0627594,52.70020676
142,25.79101563,689.3983154,1675.343384,905.1015625,281.822113,63.53623199
143,25.79101563,875.0734863,2329.755859,915.362915,410.6161499,94.97621155
144,26.29296875,1241.518188,2635.342285,913.1538696,505.1190491,121.334053
145,26.80664063,1142.449951,2830.263184,911.0999756,589.7111816,149.7358704
146,26.80664063,1174.256104,2920.006104,928.0124512,589.984436,149.6255798
147,27.32421875,1194.97998,3015.893066,940.4033813,637.4505005,163.4986725
148,27.828125,1171.952026,3055.116455,940.793396,666.18396,173.0233459
149,27.828125,1244.303467,3071.541748,936.7612915,696.1891479,181.2869873
150,27.828125,1391.033936,3285.362793,940.793396,738.9607544,193.5831146
151,28.33203125,1493.466431,3370.462158,953.6381226,792.5067139,206.9809723
152,28.33203125,1476.828125,3509.831543,966.0925293,811.4208374,213.8261719
153,28.83203125,1602.849854,3513.680664,976.3817749,861.4943237,227.6878967
154,29.83398438,1693.898438,3501.864014,984.6848145,918.1005249,239.8139648
155,30.8359375,1707.255249,3523.942627,990.8065796,944.7514648,247.4969177
156,31.84570313,1781.819336,3520.622314,992.8126831,984.3876953,260.5350952
157,34.3828125,1891.695068,3516.957031,1003.010315,1045.14917,275.8513794
158,35.38476563,1959.435425,3503.443848,1000.996338,1076.528198,284.01651
159,36.38476563,2019.078247,3499.742432,1000.996338,1100.933716,298.3683167
160,36.38476563,2001.818481,3504.214111,998.9703369,1107.697021,299.2134705
161,36.38476563,2003.605713,3501.289795,996.9085083,1114.374878,301.8010559
162,36.38476563,1998.764404,3505.836914,998.9703369,1112.366333,301.2711487
163,37.39257813,2068.467285,3477.903564,1001.004211,1129.433838,303.2546387
164,38.90039063,2153.359131,3521.485107,1005.04425,1184.761841,320.8904114
165,41.41210938,2351.29126,3527.288574,1005.04425,1260.421753,339.6762695
166,42.91992188,2423.880615,3546.71167,998.8508911,1314.001587,356.3581848
167,44.93945313,2490.786377,3546.913574,996.7911987,1376.696533,375.0207214
168,47.45507813,2673.121582,3487.162354,1002.918823,1421.546753,386.3031311
169,48.45898438,2708.809814,3522.731689,980.9373779,1487.30603,406.9269104
170,47.45117188,2753.343994,3490.596924,959.0575562,1477.256348,407.6718445
171,46.95117188,2727.148682,3497.317871,959.0575562,1460.503906,402.9749756
172,46.95117188,2683.104004,3515.744385,970.0430908,1444.635742,397.6392212
173,48.984375,2693.901367,3572.568359,971.7628174,1536.522705,422.4105835
174,49.98828125,2816.586426,3466.177734,956.8005981,1532.39856,421.4572449
175,51.4921875,2743.01123,3496.517578,987.234314,1525.8125,421.961853
176,51.99414063,2849.654541,3506.109375,1000.686035,1529.252441,423.6080627
177,51.99414063,2868.315186,3487.338867,998.6500854,1536.016846,426.5815125
178,51.99414063,2791.409424,3494.882813,996.6239624,1542.964966,429.177948
179,51.99414063,2842.862549,3492.304932,998.6500854,1537.252075,428.8954468
180,53.50195313,2902.65332,3487.779541,998.6500854,1575.915283,439.6480408
181,54.50585938,2958.597656,3484.451172,998.6500854,1609.415649,446.2996521
182,55.5078125,3040.260742,3476.934326,998.6500854,1641.220093,453.3065491
183,59.04296875,3200.687988,3469.500488,998.6500854,1736.653564,471.2467041
184,62.05664063,3406.588135,3444.638184,998.6500854,1801.906372,486.8811951
185,66.078125,3591.87793,3460.931641,1000.797546,1923.189575,519.1292725
186,69.08789063,3734.909668,3456.501465,998.7556763,2009.338135,542.5064697
187,70.09375,3707.241943,3480.772461,998.7556763,2054.130371,559.6798706
188,72.6015625,3924.022217,3462.631348,1002.912964,2107.199463,567.5366821
189,75.11132813,4062.399658,3457.623535,996.8410645,2183.478516,588.1842651
190,78.12109375,4189.929199,3465.126221,998.9029541,2256.29541,609.7091064
191,81.63671875,4359.31543,3485.945801,998.9029541,2356.075684,635.2559204
192,84.6484375,4493.92334,3482.69043,998.9029541,2438.686768,659.0432739
193,86.65625,4623.067383,3475.181885,998.9029541,2494.925781,673.2354126
194,89.65820313,4735.785645,3483.391113,998.9029541,2569.649658,693.9483032
195,92.16992188,4862.102051,3477.740234,998.9029541,2640.19043,714.5438843
196,95.18359375,5027.636719,3480.498047,998.9029541,2715.594238,731.7820435
197,97.6953125,5164.34668,3480.331299,996.8968506,2801.982666,756.4841309
198,98.19726563,5213.007813,3481.668945,998.9307861,2815.880127,757.8742065
